CustomerID,Aging,Gender,Location(CityTier),Churn,PreferedOrderCat,MembershipLevel,MaritalStatus,Complain,SatisfactionScore
50090,37,Female,1,1,Mobile,Critical,Single,1,5
50091,35,Female,3,0,Fashion,High,Single,1,2
50092,38,Female,3,1,Laptop & Accessory,Critical,Single,0,5
50093,43,Male,1,1,Mobile,Critical,Single,0,3
50094,35,Female,3,0,Fashion,Critical,Single,0,2
50095,41,Female,3,0,Laptop & Accessory,High,Divorced,0,5
50096,38,Male,1,0,Laptop & Accessory,Critical,Single,0,4
50097,40,Female,1,0,Mobile,High,Divorced,0,4
50098,41,Male,1,0,Fashion,High,Married,1,2
50099,38,Male,3,0,Fashion,Critical,Married,0,3
50100,35,Male,1,0,Laptop & Accessory,Critical,Divorced,0,3
50101,39,Male,1,0,Mobile,Critical,Divorced,0,2
50102,35,Male,3,0,Mobile Phone,High,Married,0,2
50103,37,Female,3,0,Fashion,Critical,Divorced,0,2
50104,43,Female,3,0,Fashion,High,Single,0,3
50105,39,Male,1,1,Mobile,High,Single,1,2
50106,34,Female,1,0,Mobile,Critical,Single,0,2
50107,34,Male,1,0,Others,Critical,Divorced,0,2
50108,40,Male,2,0,Mobile,Critical,Divorced,0,3
50109,39,Female,3,0,Others,Medium,Married,0,2
50110,43,Male,1,1,Mobile,Critical,Divorced,1,2
50111,37,Female,3,0,Grocery,Critical,Divorced,1,2
50112,35,Female,1,1,Mobile,Medium,Divorced,0,5
50113,43,Male,3,0,Others,High,Single,1,3
50114,42,Female,3,0,Mobile Phone,High,Divorced,0,4
50115,38,Male,1,1,Mobile Phone,High,Single,1,3
50116,40,Female,1,0,Mobile,High,Married,0,3
50117,34,Male,3,0,Laptop & Accessory,Critical,Divorced,0,2
50118,34,Male,1,0,Laptop & Accessory,High,Married,0,5
50119,41,Male,1,0,Laptop & Accessory,High,Married,0,2
50120,40,Male,1,0,Others,Critical,Divorced,0,2
50121,41,Male,1,0,Fashion,High,Married,0,3
50122,38,Female,1,0,Mobile,High,Divorced,0,2
50123,39,Male,1,0,Laptop & Accessory,Critical,Divorced,0,5
50124,40,Female,1,0,Mobile Phone,High,Divorced,0,5
50125,40,Male,1,0,Laptop & Accessory,High,Divorced,0,3
50126,43,Male,1,1,Fashion,Critical,Married,0,3
50127,42,Female,1,0,Fashion,High,Single,0,3
50128,34,Male,1,0,Mobile,High,Single,0,2
50129,36,Female,1,0,Laptop & Accessory,High,Single,1,5
50130,36,Male,3,0,Laptop & Accessory,Medium,Married,0,2
50131,35,Female,1,0,Laptop & Accessory,High,Divorced,0,3
50132,36,Female,1,0,Mobile,Critical,Married,1,5
50133,40,Male,1,0,Others,High,Married,0,3
50134,42,Male,1,0,Mobile,Critical,Divorced,0,2
50135,37,Male,1,1,Mobile,Critical,Single,0,4
50136,39,Male,1,0,Mobile,High,Divorced,0,4
50137,43,Male,3,0,Laptop & Accessory,Critical,Divorced,0,2
50138,39,Male,1,0,Laptop & Accessory,Critical,Single,0,5
50139,34,Female,3,0,Grocery,Critical,Divorced,1,4
50140,36,Male,1,1,Mobile,Medium,Single,0,3
50141,35,Male,3,0,Laptop & Accessory,Critical,Divorced,0,4
50142,35,Male,1,0,Laptop & Accessory,Medium,Divorced,0,2
50143,36,Male,1,0,Laptop & Accessory,Critical,Married,0,5
50144,37,Male,1,0,Grocery,Critical,Divorced,1,2
50145,40,Male,1,0,Mobile,Critical,Divorced,0,2
50146,38,Male,1,0,Others,High,Single,1,5
50147,39,Male,1,1,Fashion,Critical,Divorced,1,4
50148,36,Male,1,0,Mobile,Medium,Divorced,0,2
50149,38,Male,3,0,Laptop & Accessory,Critical,Divorced,0,2
50150,41,Male,1,0,Mobile,High,Single,0,3
50151,36,,1,0,Fashion,High,Married,1,2
50152,35,Female,1,0,Fashion,Critical,Married,0,4
50153,43,Female,3,0,Laptop & Accessory,Critical,Married,1,5
50154,39,Female,1,0,Laptop & Accessory,High,Married,0,4
50155,35,Male,1,0,Others,High,Married,0,4
50156,41,Male,1,0,Grocery,Critical,Divorced,1,3
50157,35,Male,3,0,Laptop & Accessory,Critical,Divorced,0,3
50158,37,Male,3,0,Laptop & Accessory,Medium,Single,0,2
50159,34,Male,1,0,Laptop & Accessory,High,Divorced,1,2
50160,42,Male,1,0,Laptop & Accessory,Medium,Divorced,1,5
50161,42,Female,1,0,Mobile,High,Single,0,2
50162,36,Male,1,1,Mobile,Critical,Married,1,3
50163,39,Male,1,0,Laptop & Accessory,Critical,Married,0,2
50164,34,Male,1,1,Mobile,Medium,Married,1,4
50165,42,Female,1,0,Mobile,Critical,Single,0,2
50166,40,Female,1,0,Others,Critical,Single,1,5
50167,34,Male,1,0,Laptop & Accessory,Critical,Single,0,4
50168,34,Female,3,0,Mobile,High,Married,0,4
50169,35,Male,3,1,Laptop & Accessory,Critical,Single,1,2
50170,38,Male,1,0,Mobile,High,Divorced,1,2
50171,34,Female,3,0,Grocery,High,Divorced,0,4
50172,41,Male,1,1,Mobile Phone,Critical,Single,0,3
50173,41,Male,3,0,Fashion,Medium,Divorced,0,4
50174,38,Male,1,0,Mobile Phone,High,Divorced,0,2
50175,34,Male,1,0,Laptop & Accessory,High,Married,0,4
50176,38,Male,3,0,Grocery,High,Single,0,4
50177,43,Female,3,0,Mobile Phone,Critical,Single,0,3
50178,38,Male,1,0,Laptop & Accessory,High,Single,0,5
50179,43,Male,3,0,Laptop & Accessory,Critical,Divorced,0,2
50180,43,Male,1,0,Fashion,High,Married,0,2
50181,39,Female,1,0,Laptop & Accessory,High,Divorced,0,4
50182,35,Male,3,0,Laptop & Accessory,High,Divorced,0,3
50183,35,Female,1,0,Fashion,Medium,Divorced,0,4
50184,35,Male,1,0,Laptop & Accessory,Critical,Married,1,3
50185,36,Male,1,0,Mobile Phone,Critical,Divorced,1,2
50186,41,Male,2,0,Laptop & Accessory,Critical,Divorced,0,5
50187,35,Male,1,0,Fashion,High,Married,0,5
50188,34,Male,1,0,Mobile,Critical,Married,1,2
50189,37,Female,1,0,Fashion,Medium,Divorced,0,4
50190,40,Male,1,0,Grocery,Medium,Divorced,1,5
50191,35,Female,1,0,Mobile,High,Single,0,2
50192,38,Female,1,0,Grocery,Critical,Single,1,3
50193,39,Male,1,1,Laptop & Accessory,Critical,Divorced,0,4
50194,41,Female,1,0,Mobile,Medium,Single,1,4
50195,40,Female,3,0,Laptop & Accessory,Medium,Divorced,1,4
50196,43,Male,3,0,Laptop & Accessory,Medium,Single,1,3
50197,35,Male,3,0,Laptop & Accessory,Medium,Married,0,2
50198,41,Female,1,0,Laptop & Accessory,Medium,Single,0,2
50199,40,Male,1,1,Mobile,Critical,Divorced,1,2
50200,35,Female,1,0,Laptop & Accessory,Medium,Divorced,0,2
50201,37,Female,1,0,Fashion,High,Divorced,0,3
50202,43,Male,1,0,Others,Critical,Divorced,0,2
50203,34,Female,3,1,Laptop & Accessory,Critical,Divorced,1,3
50204,41,Male,3,0,Laptop & Accessory,Medium,Single,0,2
50205,43,Male,1,0,Others,Critical,Divorced,0,3
50206,35,Female,1,0,Laptop & Accessory,High,Married,0,3
50207,40,Male,3,0,Laptop & Accessory,Critical,Divorced,1,4
50208,41,Female,1,0,Laptop & Accessory,Medium,Single,0,3
50209,36,Female,1,0,Fashion,Critical,Divorced,0,5
50210,38,Male,1,0,Laptop & Accessory,Critical,Divorced,0,2
50211,37,Male,3,0,Laptop & Accessory,Medium,Divorced,1,2
50212,39,Male,1,1,Mobile,Medium,Divorced,1,5
50213,39,Male,1,0,Mobile Phone,High,Single,0,2
50214,36,Female,3,0,Laptop & Accessory,Critical,Married,0,3
50215,34,Female,3,0,Laptop & Accessory,Medium,Divorced,0,4
50216,38,Male,1,0,Laptop & Accessory,High,Married,0,2
50217,40,Male,1,0,Fashion,High,Married,1,2
50218,39,Female,1,0,Fashion,Critical,Single,1,2
50219,42,Female,3,0,Laptop & Accessory,Critical,Married,1,4
50220,37,Male,1,0,Fashion,Medium,Single,0,4
50221,39,Male,1,0,Mobile,High,Married,0,2
50222,34,Male,1,0,Laptop & Accessory,Medium,Single,1,4
50223,34,Male,3,0,Laptop & Accessory,Medium,Single,0,3
50224,42,Female,1,0,Grocery,High,Single,0,2
50225,37,Male,3,0,Laptop & Accessory,High,Divorced,0,3
50226,39,Male,2,0,Mobile,High,Married,1,3
50227,43,Female,1,0,Mobile,Critical,Divorced,0,4
50228,38,Female,3,0,Fashion,High,Divorced,0,3
50229,40,Male,1,0,Laptop & Accessory,High,Married,1,5
50230,42,Female,3,0,Laptop & Accessory,Critical,Divorced,1,3
50231,38,Male,3,0,Laptop & Accessory,Medium,Divorced,0,3
50232,36,Male,1,0,Laptop & Accessory,High,Single,0,2
50233,38,Female,3,1,Mobile,High,Single,1,4
50234,34,Female,3,0,Laptop & Accessory,Medium,Single,0,2
50235,40,Male,3,0,Fashion,Medium,Divorced,0,2
50236,42,Male,1,0,Laptop & Accessory,Critical,Divorced,0,3
50237,39,Female,1,0,Mobile,Medium,Divorced,1,3
50238,34,Male,3,0,Mobile,Critical,Single,0,2
50239,37,Female,3,1,Mobile,Medium,Single,1,3
50240,39,Female,1,0,Mobile,High,Divorced,0,5
50241,39,Female,1,0,Laptop & Accessory,High,Divorced,0,3
50242,41,Male,3,1,Laptop & Accessory,High,Single,0,4
50243,36,Male,1,0,Fashion,Critical,Single,0,2
50244,42,Male,3,1,Laptop & Accessory,High,Divorced,1,3
50245,41,Male,1,0,Mobile,Critical,Single,1,4
50246,42,Female,3,1,Mobile,Medium,Single,0,4
50247,41,Male,1,0,Mobile,Medium,Single,0,2
50248,37,Male,1,0,Laptop & Accessory,Critical,Single,0,4
50249,43,Male,1,0,Mobile Phone,Critical,Married,0,4
50250,43,Male,3,0,Laptop & Accessory,Critical,Single,0,2
50251,41,Male,1,0,Fashion,Medium,Single,0,3
50252,39,Female,3,0,Laptop & Accessory,High,Divorced,0,2
50253,41,Female,1,0,Mobile,Medium,Divorced,0,3
50254,35,Male,3,1,Laptop & Accessory,High,Single,1,2
50255,42,Female,1,0,Grocery,High,Single,1,2
50256,34,Female,3,0,Laptop & Accessory,Medium,Married,1,3
50257,34,Male,3,0,Mobile,Critical,Divorced,0,4
50258,39,Male,1,1,Mobile,Medium,Single,0,5
50259,36,Female,1,0,Mobile,High,Divorced,0,4
50260,41,Male,3,0,Fashion,Critical,Divorced,0,3
50261,36,Male,1,1,Mobile,High,Single,1,2
50262,35,Female,1,0,Mobile,Critical,Married,0,5
50263,39,Female,3,0,Laptop & Accessory,High,Married,0,4
50264,35,Female,1,0,Mobile,High,Married,0,5
50265,42,Male,1,0,Laptop & Accessory,High,Single,1,4
50266,39,Male,1,0,Grocery,Critical,Married,0,4
50267,35,Female,1,0,Laptop & Accessory,Medium,Divorced,0,3
50268,35,Male,1,0,Others,High,Divorced,0,5
50269,42,Female,3,0,Laptop & Accessory,High,Divorced,0,3
50270,38,Female,1,0,Laptop & Accessory,Critical,Divorced,0,5
50271,40,Male,1,0,Mobile,High,Divorced,0,2
50272,41,Female,1,0,Laptop & Accessory,High,Married,1,3
50273,35,Female,3,0,Laptop & Accessory,High,Single,1,2
50274,42,Female,1,0,Laptop & Accessory,High,Divorced,1,3
50275,35,Male,1,0,Mobile,Critical,Divorced,0,5
50276,41,Male,1,0,Others,Critical,Married,1,3
50277,36,Female,3,0,Grocery,Critical,Divorced,0,5
50278,36,Female,3,0,Laptop & Accessory,Critical,Single,0,3
50279,38,Male,3,0,Fashion,High,Divorced,0,5
50280,42,Male,1,0,Laptop & Accessory,Critical,Married,0,5
50281,34,Male,1,1,Mobile Phone,Medium,Divorced,0,5
50282,36,Male,1,0,Fashion,Critical,Divorced,1,3
50283,37,Male,1,0,Mobile,High,Divorced,0,2
50284,42,Female,1,0,Grocery,High,Divorced,0,2
50285,42,Female,1,0,Laptop & Accessory,Medium,Married,0,3
50286,34,Female,1,0,Laptop & Accessory,Critical,Single,0,2
50287,43,Female,1,0,Others,Medium,Divorced,0,5
50288,41,Female,1,0,Laptop & Accessory,Medium,Married,0,3
50289,34,Female,1,0,Laptop & Accessory,High,Divorced,0,2
50290,36,Female,3,1,Mobile,High,Single,1,4
50291,43,Female,3,1,Mobile,High,Married,0,3
50292,38,Male,1,0,Mobile Phone,Critical,Divorced,1,2
50293,41,Female,3,0,Others,Critical,Divorced,0,3
50294,38,Female,1,0,Mobile,Critical,Married,0,2
50295,38,Male,1,0,Mobile,Critical,Divorced,0,2
50296,34,Male,1,0,Fashion,Critical,Divorced,0,3
50297,41,Female,1,1,Mobile,High,Divorced,0,4
50298,36,Male,2,1,Mobile,Critical,Single,0,2
50299,40,Female,3,0,Fashion,Critical,Divorced,0,5
50300,34,Male,3,0,Grocery,Critical,Married,0,2
50301,39,Male,1,0,Grocery,High,Divorced,0,3
50302,41,Female,1,0,Mobile,Critical,Single,0,2
50303,40,Female,3,0,Fashion,Critical,Divorced,0,5
50304,38,Female,1,0,Laptop & Accessory,High,Married,0,2
50305,41,Male,1,0,Grocery,High,Divorced,0,3
50306,40,Male,1,0,Mobile Phone,High,Single,0,3
50307,42,Female,1,0,Laptop & Accessory,Critical,Single,0,3
50308,35,Male,1,0,Mobile,High,Married,0,3
50309,39,Female,3,0,Fashion,High,Divorced,1,2
50310,40,Male,1,0,Fashion,High,Married,0,4
50311,38,Male,1,1,Fashion,Critical,Divorced,1,3
50312,39,Male,1,1,Mobile,High,Married,0,2
50313,43,Male,3,0,Mobile,Medium,Single,0,4
50314,34,Male,1,0,Fashion,Critical,Divorced,1,3
50315,39,Male,1,1,Fashion,High,Divorced,0,3
50316,42,Female,2,1,Fashion,Medium,Married,1,5
50317,41,Male,1,0,Mobile,High,Divorced,0,3
50318,37,Male,3,0,Fashion,High,Single,0,2
50319,43,Male,1,1,Mobile Phone,High,Single,0,3
50320,43,Female,3,0,Laptop & Accessory,Medium,Divorced,0,2
50321,38,Female,3,0,Grocery,Critical,Single,0,4
50322,36,Male,3,0,Laptop & Accessory,Critical,Single,0,2
50323,34,Male,3,0,Laptop & Accessory,Medium,Divorced,0,3
50324,37,Female,1,0,Grocery,High,Single,0,3
50325,40,Female,1,0,Mobile Phone,High,Divorced,0,3
50326,41,Male,3,0,Laptop & Accessory,Critical,Single,1,2
50327,36,Male,1,0,Fashion,High,Divorced,1,5
50328,43,Male,3,0,Laptop & Accessory,Critical,Divorced,0,4
50329,35,Female,2,1,Mobile,Medium,Married,1,3
50330,38,Male,1,0,Laptop & Accessory,Critical,Married,0,2
50331,40,Female,1,0,Grocery,High,Married,0,3
50332,40,Male,3,0,Fashion,High,Married,0,2
50333,38,Male,3,1,Mobile Phone,Critical,Single,1,4
50334,37,Male,3,0,Fashion,Medium,Married,0,5
50335,42,Female,1,0,Laptop & Accessory,Critical,Single,1,3
50336,37,Male,3,0,Laptop & Accessory,High,Married,0,3
50337,35,Female,3,0,Laptop & Accessory,Critical,Single,0,3
50338,36,Male,3,0,Laptop & Accessory,Critical,Single,0,2
50339,42,Male,1,1,Mobile,High,Single,1,2
50340,37,Female,1,0,Fashion,High,Single,0,2
50341,42,Female,1,0,Fashion,Critical,Divorced,0,3
50342,41,Female,3,0,Grocery,High,Divorced,0,5
50343,35,Male,3,0,Fashion,High,Married,0,4
50344,42,Male,1,0,Laptop & Accessory,Critical,Married,1,5
50345,43,Male,3,1,Laptop & Accessory,Medium,Divorced,0,3
50346,41,Male,3,0,Mobile,High,Divorced,0,2
50347,38,Female,1,0,Laptop & Accessory,Critical,Divorced,0,3
50348,39,Female,1,0,Laptop & Accessory,High,Divorced,0,4
50349,40,Male,1,0,Others,High,Married,1,3
50350,36,Male,1,0,Mobile,Critical,Divorced,1,2
50351,37,Male,3,0,Laptop & Accessory,Critical,Divorced,0,4
50352,36,Male,1,0,Mobile,Medium,Divorced,0,4
50353,34,Male,2,0,Others,Critical,Divorced,0,4
50354,40,Male,3,0,Mobile,Medium,Divorced,0,3
50355,38,Female,1,1,Mobile,Critical,Divorced,1,3
50356,36,Male,3,1,Mobile,High,Divorced,0,5
50357,36,Male,1,0,Mobile Phone,Critical,Divorced,1,2
50358,43,Male,3,1,Laptop & Accessory,High,Married,0,5
50359,43,Male,1,0,Laptop & Accessory,High,Single,0,2
50360,35,Male,3,0,Laptop & Accessory,Critical,Married,0,2
50361,34,Female,1,0,Mobile,High,Married,0,3
50362,40,Male,3,0,Laptop & Accessory,High,Divorced,1,3
50363,37,Female,1,0,Mobile,High,Single,0,4
50364,43,Female,1,0,Laptop & Accessory,Critical,Divorced,0,2
50365,34,Male,1,0,Grocery,Critical,Married,1,2
50366,40,Female,1,0,Mobile,High,Single,0,5
50367,42,Male,1,0,Laptop & Accessory,Medium,Married,1,3
50368,38,Female,1,0,Grocery,High,Divorced,0,5
50369,38,Female,2,0,Laptop & Accessory,Critical,Single,0,3
50370,40,Female,3,0,Mobile,High,Married,1,3
50371,37,Male,3,1,Mobile,Medium,Married,0,5
50372,35,Male,3,0,Mobile,Medium,Single,0,3
50373,34,Male,1,0,Others,High,Divorced,1,2
50374,38,Male,1,0,Mobile,Critical,Divorced,0,3
50375,36,Male,3,0,Laptop & Accessory,High,Married,0,3
50376,37,Female,1,0,Laptop & Accessory,High,Divorced,1,2
50377,37,Female,1,0,Mobile,Critical,Married,0,3
50378,36,Female,3,0,Laptop & Accessory,High,Single,0,5
50379,34,Male,1,0,Mobile,High,Divorced,0,2
50380,40,Female,3,1,Laptop & Accessory,High,Divorced,0,5
50381,34,Female,1,0,Mobile,Critical,Divorced,1,2
50382,36,Male,1,0,Fashion,Medium,Divorced,0,3
50383,36,Female,3,0,Laptop & Accessory,Critical,Divorced,0,3
50384,40,Male,1,0,Laptop & Accessory,Medium,Single,0,2
50385,41,Male,1,0,Laptop & Accessory,Critical,Married,0,2
50386,43,Male,2,0,Fashion,Medium,Divorced,0,4
50387,39,Male,1,0,Laptop & Accessory,Medium,Married,1,4
50388,43,Male,1,0,Mobile,Medium,Single,0,2
50389,42,Male,1,1,Mobile Phone,Medium,Single,1,3
50390,37,Male,1,1,Mobile,Critical,Single,1,5
50391,36,Male,1,0,Mobile Phone,Critical,Divorced,0,3
50392,34,Male,1,0,Mobile,High,Divorced,0,5
50393,42,Male,3,0,Laptop & Accessory,High,Divorced,0,4
50394,38,Female,3,0,Laptop & Accessory,High,Single,0,2
50395,35,Male,1,0,Mobile,High,Married,0,2
50396,38,Male,3,0,Laptop & Accessory,Critical,Divorced,0,4
50397,34,Female,3,0,Laptop & Accessory,Critical,Married,1,2
50398,41,Male,1,0,Mobile Phone,High,Single,0,2
50399,35,Male,1,0,Mobile,Medium,Divorced,1,3
50400,42,Female,1,0,Fashion,Critical,Single,0,4
50401,36,Female,3,1,Laptop & Accessory,High,Single,0,3
50402,38,Female,1,0,Laptop & Accessory,Critical,Single,0,3
50403,39,Male,3,0,Laptop & Accessory,Critical,Single,0,2
50404,39,Male,3,1,Laptop & Accessory,Critical,Divorced,1,3
50405,41,Female,1,0,Laptop & Accessory,Critical,Single,0,2
50406,41,Female,1,0,Fashion,Critical,Divorced,0,5
50407,41,Female,1,0,Fashion,Critical,Single,0,2
50408,37,Male,3,0,Laptop & Accessory,Medium,Single,0,5
50409,39,Male,3,0,Fashion,Critical,Divorced,1,5
50410,36,Male,1,0,Grocery,Critical,Divorced,0,3
50411,39,Male,2,0,Others,Medium,Married,0,2
50412,40,Male,3,0,Laptop & Accessory,Medium,Single,0,5
50413,34,Male,1,0,Fashion,Critical,Married,0,5
50414,34,Male,2,0,Others,Medium,Divorced,0,3
50415,43,Male,3,0,Mobile Phone,High,Divorced,0,4
50416,36,Female,1,1,Mobile,High,Single,1,4
50417,40,Female,1,0,Fashion,Medium,Divorced,0,5
50418,37,Female,1,0,Fashion,Critical,Single,1,3
50419,36,Male,1,0,Mobile Phone,Critical,Single,0,3
50420,40,Female,3,0,Grocery,High,Married,1,3
50421,40,Male,3,0,Laptop & Accessory,Medium,Married,0,2
50422,36,Male,3,0,Mobile,High,Single,0,3
50423,34,Male,1,1,Mobile,Critical,Married,1,3
50424,37,Male,3,0,Laptop & Accessory,High,Divorced,0,2
50425,37,Female,1,0,Laptop & Accessory,Medium,Single,0,3
50426,43,Male,1,0,Mobile,High,Divorced,0,5
50427,43,Female,2,0,Laptop & Accessory,Medium,Divorced,0,4
50428,34,Male,1,0,Grocery,High,Divorced,0,2
50429,37,Female,1,0,Mobile,High,Single,1,2
50430,39,Female,1,0,Laptop & Accessory,Medium,Single,0,5
50431,38,Male,3,0,Mobile,High,Married,0,4
50432,40,Male,1,0,Laptop & Accessory,High,Single,0,2
50433,36,Female,1,0,Laptop & Accessory,Critical,Married,0,5
50434,38,Male,1,0,Laptop & Accessory,High,Divorced,0,2
50435,38,Male,1,0,Mobile,High,Divorced,1,3
50436,39,Female,1,0,Laptop & Accessory,High,Married,0,5
50437,36,Male,3,0,Grocery,High,Divorced,0,5
50438,39,Male,1,1,Mobile,High,Single,1,2
50439,40,Female,3,0,Laptop & Accessory,Medium,Single,0,2
50441,42,Male,1,0,Mobile,Medium,Single,0,3
50442,42,Female,3,1,Laptop & Accessory,High,Single,1,3
50443,41,Male,3,0,Laptop & Accessory,Medium,Single,0,2
50444,41,Male,1,1,Others,Medium,Divorced,1,5
50445,41,Male,3,0,Fashion,High,Single,0,5
50446,38,Male,1,0,Mobile Phone,Critical,Divorced,0,2
50447,43,Female,1,0,Mobile Phone,Critical,Married,0,2
50448,38,Female,1,0,Laptop & Accessory,Critical,Divorced,0,3
50449,38,Male,3,1,Laptop & Accessory,High,Single,0,5
50450,43,Female,1,0,Mobile,Critical,Single,0,2
50451,42,Female,1,0,Laptop & Accessory,Medium,Married,1,5
50452,37,Male,3,0,Laptop & Accessory,Critical,Divorced,0,2
50453,41,Female,1,0,Mobile,High,Married,1,5
50454,43,Female,1,0,Laptop & Accessory,Critical,Single,1,5
50455,41,Female,1,0,Mobile Phone,High,Single,0,5
50456,38,Female,3,0,Mobile,Medium,Divorced,0,2
50457,42,Male,1,0,Mobile Phone,Critical,Divorced,0,3
50458,42,Female,1,0,Laptop & Accessory,Critical,Divorced,0,4
50459,37,Female,3,0,Laptop & Accessory,Critical,Divorced,0,5
50460,42,Male,1,0,Others,Medium,Married,0,2
50461,43,Male,1,1,Mobile Phone,Critical,Divorced,1,5
50462,42,Male,1,0,Mobile,High,Married,0,4
